date,Inflation
8/1/1984,3
7/1/1984,3.4
6/1/1984,4.2
5/1/1984,4.2
4/1/1984,3.9
3/1/1984,3.4
2/1/1984,3.3
1/1/1984,3.2
12/1/1983,3.5
11/1/1983,3.5
10/1/1983,3.7
9/1/1983,3.3
8/1/1983,3.3
7/1/1983,3.2
6/1/1983,3.2
5/1/1983,3.2
4/1/1983,3.4
3/1/1983,1.8
2/1/1983,3
1/1/1983,2.8
12/1/1982,3.7
11/1/1982,4.5
10/1/1982,4.7
9/1/1982,4.5
8/1/1982,4.8
7/1/1982,5
6/1/1982,4.6
5/1/1982,3.5
4/1/1982,4.7
3/1/1982,4.2
2/1/1982,5.2
1/1/1982,5.1
12/1/1981,5.3
11/1/1981,7.3
10/1/1981,6.7
9/1/1981,6.9
8/1/1981,5.8
7/1/1981,6.8
6/1/1981,7.1
5/1/1981,7.3
4/1/1981,8
3/1/1981,7.2
2/1/1981,8.6
1/1/1981,9.5
12/1/1980,9.7
11/1/1980,8.6
10/1/1980,9.6
9/1/1980,9.1
8/1/1980,7.6
7/1/1980,9.6
6/1/1980,8.5
5/1/1980,8.6
4/1/1980,10.1
3/1/1980,10.2
2/1/1980,10
1/1/1980,10.4
12/1/1979,9.9
11/1/1979,10
10/1/1979,9
9/1/1979,9.6
8/1/1979,9.9
7/1/1979,9.9
6/1/1979,9.9
5/1/1979,9.8
4/1/1979,9.7
3/1/1979,8.8
2/1/1979,9.3
1/1/1979,7.8
12/1/1978,7.3
11/1/1978,7.5
10/1/1978,7.4
9/1/1978,6.9
8/1/1978,8.7
7/1/1978,6.6
6/1/1978,6.5
5/1/1978,6.9
4/1/1978,6.7
3/1/1978,6.3
2/1/1978,6.4
1/1/1978,5.2
