date,sp_close,sp_volume,median_sale_price,homes_sold,inflation_rate,sales,unemployment_rate,nas_close,nas_volume
2019-08-01,2926.46,44182148000,295000,632565,2.7,473482,3.7,7962.882,11994480568
2019-09-01,2976.74,38026271000,291000,536596,2.8,429556,3.5,7999.332,11510849523
2019-10-01,3037.56,41102825000,293000,547809,2.5,456436,3.6,8292.36,11226733804
2019-11-01,3140.98,36870813000,293000,484353,2.5,469003,3.6,8665.471,10745739757
2019-12-01,3230.78,36752558000,295000,515929,2.3,521467,3.6,8972.604,12249707059
2020-01-01,3225.52,41642589000,289000,381306,2.5,418734,3.5,9150.936,12887269817
2020-02-01,2954.22,45245591000,293000,409559,2.4,415511,3.5,8567.368,13386395038
2020-03-01,2584.59,95328398000,302000,512443,2.2,430527,4.4,7700.098,25111758860
2020-04-01,2912.43,71183389000,303000,442444,2.1,377210,14.7,8889.551,18759920372
2020-05-01,3044.31,61411576000,298000,428048,3.2,462286,13.2,9489.872,18165195419
2020-06-01,3100.29,72273672000,310000,596048,3,481205,11,10058.765,27301039065
2020-07-01,3271.12,54487214000,322000,712170,3,494905,10.2,10745.275,20682333679
2020-08-01,3500.31,46125741000,327000,673302,3.1,488949,8.4,11775.456,17244602454
2020-09-01,3363,55234683000,331000,670101,2.6,476247,7.9,11167.68,20520576928
2020-10-01,3269.96,51333971000,334000,681181,2.6,495722,6.9,10911.591,16774563098
2020-11-01,3621.63,53533033000,333000,590703,2.8,492362,6.7,12198.737,19469397524
2020-12-01,3756.07,50012214000,332000,636170,2.5,559932,6.7,12888.282,23504578175
2021-01-01,3714.24,51314664000,329000,436950,3,464362,6.4,13070.695,26547129200
2021-02-01,3811.15,45312810000,336000,441458,3.3,440019,6.2,13192.35,27399221363
2021-03-01,3972.89,61183741000,352000,594218,3.1,567933,6,13246.87,29117810074
2021-04-01,4181.17,44569620000,368000,627547,3.4,558181,6,13962.68,18514952779
2021-05-01,4204.11,44739836000,375000,635092,4.6,570641,5.8,13748.739,18492542668
2021-06-01,4297.5,45608524000,386000,732963,4.2,562929,5.9,14503.953,24048313629
2021-07-01,4395.26,41950747000,384000,682497,4.7,558031,5.4,14672.678,17455837215
2021-08-01,4522.68,40953482000,380000,677156,4.6,557018,5.2,15259.235,17681288822
2021-09-01,4307.54,43063851000,375000,642162,4.6,536229,4.7,14448.581,20386896202
2021-10-01,4605.38,41734570000,379000,615470,4.8,559399,4.6,15498.388,18708446295
2021-11-01,4567,47188041000,383000,593248,4.9,583223,4.2,15537.691,21650408237
2021-12-01,4766.18,49779279000,382000,597974,4.8,636842,3.9,15644.971,22793982904
2022-01-01,4515.55,54612067000,376000,415785,4.9,520757,4,14239.883,20652338241
2022-02-01,4373.94,50653703000,390000,414726,4.9,509967,3.8,13751.399,18893380907
