,New_cases,New_deaths,Date
593,109169,844,8-2021
594,150715,1192,8-2021
595,168388,1495,8-2021
596,174460,1379,8-2021
597,167365,1570,8-2021
598,144269,1167,8-2021
599,126950,898,8-2021
600,116207,1177,8-2021
601,162690,1655,8-2021
602,177033,1658,8-2021
603,186300,1779,8-2021
604,182160,1838,8-2021
605,152715,1470,8-2021
606,118430,1190,8-2021
607,133050,1209,9-2021
608,176675,1793,9-2021
609,198349,2017,9-2021
610,181493,2017,9-2021
611,183012,1954,9-2021
612,144065,1497,9-2021
613,125375,1322,9-2021
614,109630,1068,9-2021
615,117144,1526,9-2021
616,170656,2114,9-2021
617,184033,2238,9-2021
618,171499,2287,9-2021
619,155213,1753,9-2021
620,116267,1152,9-2021
621,112197,1310,9-2021
622,162487,2429,9-2021
623,163238,2486,9-2021
624,167391,2099,9-2021
625,157825,2321,9-2021
626,125371,1619,9-2021
627,97289,1212,9-2021
628,92096,1327,9-2021
629,134873,2333,9-2021
630,132324,2355,9-2021
631,136678,2076,9-2021
632,133282,2451,9-2021
633,97921,1452,9-2021
634,77564,1043,9-2021
635,102317,1901,9-2021
636,116654,2148,9-2021
637,116789,2252,10-2021
638,123420,1957,10-2021
639,121404,2186,10-2021
640,83439,1331,10-2021
641,68400,970,10-2021
642,86222,1285,10-2021
643,104661,2046,10-2021
644,116884,2033,10-2021
645,112847,1743,10-2021
646,108183,2270,10-2021
647,71564,1072,10-2021
648,60214,1035,10-2021
649,74424,950,10-2021
650,90310,1945,10-2021
651,96999,1835,10-2021
652,96890,1558,10-2021
653,91719,2040,10-2021
654,64270,929,10-2021
655,49421,718,10-2021
656,69392,2265,10-2021
657,80833,1840,10-2021
658,76416,1828,10-2021
659,87510,1530,10-2021
660,81558,1950,10-2021
661,33901,667,10-2021
662,25862,343,10-2021
663,88835,1035,10-2021
664,102318,2039,10-2021
665,83993,1769,10-2021
666,103480,1271,10-2021
667,87920,1804,10-2021
668,31886,448,11-2021
669,22671,299,11-2021
670,123245,1188,11-2021
671,74686,1444,11-2021
672,78379,1191,11-2021
673,88688,1203,11-2021
674,89250,1616,11-2021
675,32457,475,11-2021
676,28320,252,11-2021
677,122468,1164,11-2021
678,82835,1590,11-2021
679,93023,1336,11-2021
680,73230,962,11-2021
681,121919,1737,11-2021
682,65645,550,11-2021
683,30590,216,11-2021
684,138999,1072,11-2021
685,98016,1457,11-2021
686,105049,1442,11-2021
687,124141,3871,11-2021
688,113895,1660,11-2021
689,42838,373,11-2021
690,36254,173,11-2021
691,150619,1167,11-2021
692,100844,1559,11-2021
693,106334,1368,11-2021
694,72112,469,11-2021
695,81671,558,11-2021
696,50167,213,11-2021
697,54076,188,11-2021
698,97702,1665,12-2021
699,121077,1618,12-2021
700,132686,1716,12-2021
701,143696,1241,12-2021
702,151279,1648,12-2021
703,64842,569,12-2021
704,53670,272,12-2021
705,187772,1299,12-2021
706,126075,1848,12-2021
707,129765,1470,12-2021
708,137053,1156,12-2021
709,134331,1974,12-2021
710,61896,493,12-2021
711,56763,299,12-2021
712,189956,1304,12-2021
713,126082,1909,12-2021
714,147000,1893,12-2021
715,162045,1105,12-2021
716,161151,2066,12-2021
717,84954,585,12-2021
718,100213,274,12-2021
719,265503,1442,12-2021
720,205578,2274,12-2021
721,237021,1829,12-2021
722,279746,3178,12-2021
723,240160,1361,12-2021
724,108865,249,12-2021
725,206219,261,12-2021
726,470098,1938,12-2021
727,393813,2176,12-2021
728,473170,1807,12-2021
729,583504,1326,1-2022
730,465704,1320,1-2022
731,288246,411,1-2022
732,382910,345,1-2022
733,921162,1639,1-2022
734,726406,2800,1-2022
735,699292,1816,1-2022
736,785292,2042,1-2022
737,843369,2482,1-2022
738,429884,853,1-2022
739,470072,657,1-2022
740,1294889,1953,1-2022
741,807962,3147,1-2022
742,852706,2444,1-2022
743,885925,2113,1-2022
744,892492,2950,1-2022
745,445437,1353,1-2022
746,405263,820,1-2022
747,981825,1412,1-2022
748,857349,2603,1-2022
749,778217,3222,1-2022
750,773972,2819,1-2022
751,771065,3802,1-2022
752,314987,1185,1-2022
753,305576,903,1-2022
754,1022088,2730,1-2022
755,493642,3479,1-2022
756,542326,3346,1-2022
757,570575,2839,1-2022
758,519941,3536,1-2022
759,214688,1473,1-2022
760,153207,875,2-2022
761,581330,2707,2-2022
762,295974,4135,2-2022
763,301915,3143,2-2022
764,348644,2676,2-2022
765,281608,3353,2-2022
766,101236,1182,2-2022
767,93679,653,2-2022
768,309495,3227,2-2022
769,196779,3717,2-2022
770,195748,2962,2-2022
771,165446,2512,2-2022
772,155134,2844,2-2022
773,65577,946,2-2022
774,46588,660,2-2022
775,177011,2887,2-2022
776,108991,3330,2-2022
777,105905,2619,2-2022
778,98508,2246,2-2022
779,106552,2248,2-2022
780,39688,697,2-2022
781,30386,522,2-2022
782,47124,1062,2-2022
783,119452,3226,2-2022
784,74160,2541,2-2022
785,75849,2416,2-2022
786,74433,2289,2-2022
787,24696,512,2-2022
788,17528,307,3-2022
